File;albensis;apis;baretiae;baumannii;baylyi;beijerinckii;bereziniae;bohemicus;boissieri;bouvetii;brisouii;calcoaceticus;celticus;chengduensis;chinensis;colistiniresistens;courvalinii;cumulans;defluvii;dispersus;equi;gandensis;gerneri;gs06;gs16;guerrae;guillouiae;gyllenbergii;haemolyticus;halotolerans;harbinensis;idrijaensis;indicus;johnsonii;junii;kanungonis;kookii;kyonggiensis;lactucae;lanii;larvae;lwoffii;marinus;modestus;nectaris;nosocomialis;oleivorans;parvus;piscicola;pittii;pollinis;populi;portensis;pragensis;proteolyticus;pseudolwoffii;pullicarnis;puyangensis;qingfengensis;radioresistens;rathckeae;rongchengensis;rudis;schindleri;seifertii;seohaensis;shaoyimingii;sichuanensis;soli;stercoris;tandoii;terrae;terrestris;tianfuensis;tjernbergiae;towneri;ursingii;variabilis;venetianus;vivianii;wanghuae;wuhouensis;echte Spezies;predicted;x;max score;comment
GCA_018403785;0.01;0.01;0;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.02;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.03;0.02;0.01;0.02;0.02;0.02;0.01;0.01;0.01;0.02;0;0.01;0;0.01;0.01;0.02;0.01;0.01;0;0.01;0.01;0.01;0.01;0.02;0.02;0;0;0.01;0;0.02;0.01;0.02;0.01;1;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.36;0.02;0.03;0.02;0.01;0.02;0.02;seohaensis;seohaensis;WAHR;1;
GCA_905480265;0.01;0;0;0.01;0.01;0;0.01;0.01;0;0.01;0;0;0.01;0.01;0.01;0.01;0;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0.01;0.01;0.01;0.01;0.01;1;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0.27;0;0.01;0;0.01;0.01;0.01;0.01;0.01;0;0;0.01;0.01;0.01;0.09;0.01;0;0;0.01;0;0.01;0;0.03;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.04;0.01;0;0.01;0.01;idrijaensis;idrijaensis;WAHR;1;
GCF_000018445;0.01;0.01;0.01;0.45;0.01;0.02;0.01;0.01;0.01;0.01;0;0.06;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0.01;0.01;0.02;0.01;0.01;0.01;0.07;0.01;0.01;0.01;0.01;0.01;0.01;0.07;0.01;0.01;0.01;0.07;0;0.01;0.01;0.01;0.01;0.01;0.01;0;0;0.01;0;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.02;baumannii;baumannii;WAHR;0.45;
GCF_000021145;0.01;0;0;0.35;0.01;0.01;0.01;0.01;0;0.01;0.01;0.05;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0;0.01;0.01;0.01;0.01;0.01;0.01;0.08;0.01;0.01;0.01;0;0.01;0.01;0.17;0.14;0.01;0.01;0.11;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.18;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.01;baumannii;baumannii;WAHR;0.35;
GCF_000021245;0.01;0;0;0.3;0.01;0.02;0.01;0.01;0;0.01;0.01;0.06;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0;0.01;0.01;0.02;0.01;0.01;0.01;0.06;0.01;0.01;0.01;0;0.01;0.01;0.06;0.01;0.01;0.01;0.06;0;0.01;0.01;0.01;0.01;0.01;0.01;0;0;0.01;0;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;baumannii;baumannii;WAHR;0.3;
GCF_000046845;0.01;0.01;0;0.01;0.39;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.04;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.01;baylyi;baylyi;WAHR;0.39;
GCF_000069245;0.01;0;0.01;0.33;0.01;0.01;0.01;0.01;0;0.01;0.01;0.04;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.01;0;0;0.02;0.01;0.01;0.01;0.01;0.01;0.07;0.01;0.01;0.01;0;0.01;0.01;0.16;0.13;0.01;0.01;0.11;0;0;0.01;0.01;0.01;0.01;0.01;0;0;0.01;0;0.01;0.01;0.01;0.18;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.01;0.02;0.01;0.01;0.01;baumannii;baumannii;WAHR;0.33;
GCF_000156555;0;0.03;0;0.01;0.01;0.06;0.01;0.03;0;0.03;0.04;0.04;0;0;0.01;0.06;0.04;0.01;0.01;0.02;0.01;0.01;0.04;0.07;0.05;0.01;0.04;0.03;0.33;0.04;0.04;0;0.04;0.03;0.06;0.01;0.04;0.01;0.04;0.01;0.01;0.04;0;0.06;0.03;0.01;0.01;0.02;0.04;0.01;0;0;0.04;0;0.06;0.04;0.01;0.03;0;0.03;0.03;0.01;0.03;0.04;0.04;0.01;0;0.01;0.04;0.01;0.04;0.03;0.01;0;0.05;0.04;0.04;0.04;0.05;0.01;0.01;0.01;haemolyticus;haemolyticus;WAHR;0.33;
GCF_000162035;0.01;0.01;0;0.04;0.01;0.02;0.01;0.01;0;0.01;0.01;1;0;0;0;0.01;0.02;0;0.01;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0.01;0.01;0.02;0.01;0.01;0.01;0.08;0.01;0;0.01;0;0.01;0.01;0.06;0.11;0.01;0.01;0.09;0;0;0.01;0;0.02;0.01;0;0.01;0;0.01;0.01;0.01;0.01;0.01;0.06;0.01;0;0.01;0.01;0.01;0.01;0.01;0.01;0;0.02;0.02;0.01;0.01;0.02;0.01;0.01;0.01;calcoaceticus;calcoaceticus;WAHR;1;
GCF_000787015;0;0;0;0.06;0.01;0.01;0.04;0.01;0;0.01;0.01;0.07;0.01;0.01;0.02;0.01;0.02;0.01;0.03;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0;0.01;0.01;0.01;0.01;0.01;0.02;0.13;0.01;0;0.01;0;0.01;0;0.05;0.11;0.02;0.01;0.52;0;0;0.01;0;0.01;0.01;0.01;0;0;0.01;0;0.04;0;0.02;0.08;0.01;0.01;0.04;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.03;0.02;0.02;0.01;0.01;0.02;baumannii;pittii;FALSCH;0.52;correct
GCF_000162075;0.01;0.04;0;0.01;0.01;0.09;0.01;0.04;0;0.04;0.04;0.05;0.01;0.01;0.01;0.06;0.06;0.01;0.01;0.02;0.01;0;0.04;0.06;0.06;0.02;0.04;0.02;0.03;0.02;0.04;0;0.05;0.04;0.37;0.01;0.04;0.01;0.05;0.01;0;0.05;0;0.07;0.04;0.01;0.01;0.03;0.04;0.01;0;0;0.04;0.01;0.05;0.05;0.01;0.04;0;0.04;0.04;0.01;0.04;0.05;0.05;0.01;0.01;0.01;0.04;0.01;0.05;0.04;0;0;0.06;0.04;0.05;0.05;0.07;0.02;0.01;0.01;junii;junii;WAHR;0.37;
GCF_000162095;0.01;0.04;0;0;0.01;0.04;0.02;0.05;0;0.05;0.04;0.04;0.01;0.01;0.01;0.05;0.04;0.02;0.01;0.01;0.01;0.01;0.04;0.05;0.04;0.01;0.04;0.01;0.01;0;0.05;0.18;0.06;0.05;0.05;0.01;0.05;0.01;0.04;0.01;0;1;0;0.04;0.04;0.01;0;0.02;0.05;0.01;0;0;0.05;0.01;0.04;0.15;0.01;0.04;0;0.05;0.04;0.01;0.04;0.07;0.05;0.02;0.01;0.01;0.04;0.01;0.05;0.05;0.02;0.01;0.04;0.05;0.05;0.09;0.05;0.01;0.01;0.01;lwoffii;lwoffii;WAHR;1;
GCF_000162115;0.01;0.01;0;0.01;0;0.01;0.01;0.01;0;0.01;0.01;0.01;0.01;0;0.01;0.01;0.01;0.01;0.01;0;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0;0.01;0.02;0;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0.02;0;0.01;0.01;0.01;0;0.01;0.01;0;0;0;0.01;0.01;0.01;0.02;0.01;0.01;0;0.63;0.01;0.01;0.01;0.03;0.01;0.01;0.01;0.01;0.01;0;0.02;0.01;0.01;0.01;0.01;0.01;0.02;0.02;0.01;0.01;0.01;0.01;radioresistens;radioresistens;WAHR;0.63;
GCF_000162295;0;0.01;0;0.37;0.01;0.01;0.01;0.02;0;0.01;0.02;0.04;0;0.01;0;0.02;0.02;0.01;0;0.01;0.01;0.01;0.02;0.02;0.02;0.01;0.02;0.01;0.01;0.01;0.01;0;0.02;0.01;0.01;0;0.01;0.01;0.07;0;0.01;0.01;0;0.02;0.01;0.12;0.1;0.01;0.01;0.09;0;0;0.01;0;0.02;0.01;0;0.01;0;0.02;0.01;0.01;0.02;0.02;0.15;0;0;0.01;0.02;0.01;0.02;0.02;0;0;0.02;0.01;0.02;0.01;0.02;0.01;0;0.01;baumannii;baumannii;WAHR;0.37;
GCF_900088145;0.01;0;0.01;0.01;0.01;0.01;0.01;0.01;0;0.02;0;0.01;0.02;0.01;0.02;0.01;0.01;0.02;0.01;0.01;0.02;0.02;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.06;0.03;0.02;0.02;0.01;0.02;0.01;0.01;0.02;0.01;0.08;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.47;0.02;0.01;0.01;0.01;0;0.01;0.01;0.03;0.01;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.02;0.01;0.02;0.02;0.06;0.01;0.01;0.03;0.02;pseudolwoffii;lwoffii;FALSCH;0.47;
GCF_000163355;0.01;0;0;0.35;0.01;0.01;0.01;0.01;0;0.01;0.01;0.06;0;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.01;0;0;0.01;0.01;0.01;0.01;0.01;0.01;0.06;0;0.01;0.01;0;0.01;0;0.12;0.07;0.01;0.01;0.1;0.01;0;0.01;0.01;0.01;0.01;0.01;0;0;0.01;0;0.01;0.01;0.01;0.1;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;baumannii;baumannii;WAHR;0.35;
GCF_000836035;0;0;0;0.04;0.01;0.01;0.01;0.01;0;0.01;0;0.08;0.01;0.01;0;0.01;0.01;0.01;0;0.01;0.01;0.01;0.01;0.01;0;0.01;0.01;0;0.01;0;0;0;0.01;0.01;0.01;0;0;0.01;0.14;0.01;0;0;0;0.01;0.01;0.06;0.46;0.01;0.01;0.1;0;0;0;0;0.01;0.01;0.01;0;0;0.01;0;0.01;0;0;0.08;0.01;0;0.01;0.01;0;0.01;0.01;0.01;0.01;0.01;0;0;0.01;0.01;0.01;0.01;0.01;oleivorans;calcoaceticus;FALSCH;0.46;
GCF_000163395;0;0;0;0.51;0.01;0.01;0.01;0.01;0;0.01;0.01;0.06;0;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0.01;0;0.01;0.01;0.01;0.01;0.01;0.01;0.07;0.01;0;0.01;0;0.01;0.01;0.08;0.03;0.01;0.01;0.07;0;0;0.01;0;0.01;0.01;0.01;0;0;0.01;0;0.01;0.01;0.01;0.04;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;baumannii;baumannii;WAHR;0.51;
GCF_002135275;0.02;0;0;0;0.01;0.01;0.01;0.16;0;0.01;0;0.01;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0.02;0.01;0.01;0.02;0.01;0.01;0.02;0.4;0.01;0.01;0.01;0.01;0;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0.01;0.01;0.01;0.01;0.01;0.01;0;0;0.01;0;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.03;0.05;0.01;0.01;0.01;0;0.01;0.01;0.01;0.01;0.01;sp.;kyonggiensis;FALSCH;0.4;false
GCF_000164055;0;0.1;0;0.01;0.01;0.13;0.01;0.1;0;0.1;0.1;0.1;0;0;0.01;0.11;0.12;0.01;0.01;0.01;0.01;0.01;0.1;0.15;0.11;0.02;0.1;0.02;0.31;0.02;0.1;0;0.1;0.1;0.13;0.01;0.1;0.01;0.11;0.01;0;0.1;0;0.11;0.1;0.01;0;0.02;0.1;0.01;0;0;0.1;0;0.11;0.1;0.01;0.1;0;0.1;0.09;0.01;0.1;0.1;0.1;0.01;0.01;0.01;0.1;0;0.1;0.1;0.01;0;0.11;0.1;0.1;0.1;0.11;0.02;0.01;0.01;haemolyticus;haemolyticus;WAHR;0.31;
